Damaged_Parts,Severity,Cost_Repair_Euros
"Light, Bumper, Bonnet, Door",minor,156
"Door, Dickey",moderate,156
"Door, Light, Bumper, Fender, Windshield, Dickey",moderate,348
Light,severe,130
"Light, Windshield, Fender, Dickey",minor,192
"Door, Bonnet",severe,256
"Door, Fender",moderate,192
"Bumper, Dickey, Windshield, Bonnet",severe,472
"Dickey, Door",severe,210
"Door, Windshield, Light, Dickey, Fender, Bumper, Bonnet",severe,1015
"Bonnet, Fender",minor,60
"Light, Windshield, Bonnet, Bumper, Fender",moderate,315
"Light, Door, Dickey, Fender, Bonnet, Bumper, Windshield",severe,882
"Bonnet, Bumper",minor,92
"Bumper, Light, Fender, Windshield, Door, Dickey, Bonnet",minor,280
"Fender, Bonnet, Windshield, Bumper",minor,132
"Bumper, Windshield, Bonnet, Light, Dickey, Fender, Door",minor,217
"Windshield, Bumper, Bonnet, Door, Fender",severe,750
"Bonnet, Bumper",minor,92
"Light, Bonnet, Windshield",moderate,225
"Bonnet, Windshield, Dickey",severe,426
"Fender, Door, Bonnet, Light",severe,576
"Bonnet, Fender",moderate,200
"Windshield, Bumper, Fender, Door, Bonnet, Dickey, Light",minor,336
"Light, Bumper, Windshield",moderate,294
"Light, Fender",severe,278
"Dickey, Fender, Light, Windshield, Bonnet",moderate,305
"Fender, Bonnet, Bumper",minor,141
"Bonnet, Windshield, Door, Dickey, Bumper, Light",moderate,438
"Fender, Dickey",severe,248
"Fender, Light, Bonnet",minor,141
"Dickey, Fender, Bumper, Door, Bonnet, Windshield",moderate,426
"Bumper, Fender, Bonnet, Dickey, Light, Door, Windshield",moderate,406
"Dickey, Light, Door, Fender, Windshield, Bumper, Bonnet",minor,196
"Door, Windshield, Fender, Bumper",minor,136
"Dickey, Door, Windshield, Fender",minor,168
"Bumper, Dickey, Fender, Door, Bonnet",moderate,370
"Fender, Bonnet, Windshield",moderate,288
"Dickey, Fender, Bumper",severe,444
"Light, Bumper, Fender, Windshield, Bonnet",minor,235
"Windshield, Bonnet, Light, Dickey, Fender, Door, Bumper",moderate,588
"Door, Dickey, Fender, Windshield, Light, Bumper, Bonnet",moderate,434
"Light, Windshield, Door, Bonnet",moderate,364
"Light, Bonnet, Door, Bumper, Dickey, Windshield",moderate,408
"Door, Bonnet, Fender, Dickey, Light, Windshield, Bumper",minor,301
"Bonnet, Dickey",moderate,102
"Light, Dickey, Windshield, Bonnet",severe,468
Windshield,moderate,73
"Door, Fender, Windshield, Bumper, Bonnet",moderate,380
Windshield,minor,37
"Fender, Windshield, Bonnet, Door, Light",minor,170
Fender,minor,46
"Bumper, Light, Door, Windshield, Dickey, Fender",moderate,462
Light,severe,137
"Light, Door",minor,72
"Windshield, Dickey, Bonnet, Light",severe,572
"Bonnet, Bumper, Dickey",severe,444
"Dickey, Fender, Light, Door, Windshield, Bonnet, Bumper",minor,315
"Bonnet, Door",severe,270
Dickey,minor,33
"Dickey, Bonnet, Bumper, Fender",minor,176
"Fender, Light, Dickey",moderate,237
"Dickey, Light, Door, Bonnet, Bumper",severe,555
"Door, Bumper, Dickey, Windshield, Fender",severe,670
"Bumper, Fender, Bonnet, Dickey, Door, Light",minor,120
"Dickey, Bumper, Windshield, Fender, Bonnet",severe,650
"Door, Bumper, Bonnet, Windshield, Fender, Dickey, Light",moderate,651
"Dickey, Bumper, Bonnet, Windshield, Door, Light",severe,630
Fender,moderate,81
"Bumper, Bonnet, Windshield, Door, Light, Fender",severe,648
"Fender, Bonnet, Door",severe,348
"Door, Bonnet, Bumper",severe,357
"Windshield, Bumper, Bonnet",moderate,177
"Fender, Light, Windshield, Dickey",severe,460
Bumper,minor,48
"Light, Fender, Dickey, Bumper",moderate,308
Dickey,severe,103
Door,severe,134
"Light, Windshield, Bumper",severe,432
"Light, Windshield, Door, Fender, Dickey, Bumper",minor,192
Windshield,severe,130
Fender,severe,142
"Dickey, Fender, Door, Windshield, Light",moderate,475
"Windshield, Fender, Door, Bonnet",severe,520
"Windshield, Light, Bonnet, Fender",severe,492
"Fender, Door",severe,226
"Windshield, Fender, Door",moderate,198
"Windshield, Dickey, Light",minor,129
"Bumper, Door, Fender",minor,81
Light,severe,143
Bumper,moderate,61
"Door, Light, Bonnet",moderate,177
"Dickey, Bumper, Door, Bonnet, Windshield, Light, Fender",moderate,686
"Windshield, Light, Dickey, Door, Fender, Bonnet",moderate,456
"Bumper, Windshield, Bonnet",severe,429
Door,moderate,70
"Windshield, Door, Bonnet, Dickey, Light, Fender",minor,210
Windshield,moderate,66
"Light, Windshield, Door, Bumper, Fender, Dickey, Bonnet",moderate,595
"Windshield, Fender, Door, Dickey, Bonnet, Light, Bumper",severe,868
"Bonnet, Dickey, Light, Bumper, Windshield",minor,195
"Bumper, Dickey, Light, Windshield, Bonnet, Fender",minor,120
"Bonnet, Fender, Light, Door, Dickey",moderate,475
"Door, Bonnet",moderate,180
"Light, Door, Bonnet, Dickey",severe,560
"Bonnet, Dickey",moderate,194
"Bonnet, Light, Door, Bumper, Fender, Windshield, Dickey",severe,805
Bumper,severe,136
"Dickey, Bonnet, Fender, Door, Light, Windshield",moderate,546
"Fender, Door, Bonnet, Windshield, Bumper",minor,195
"Door, Dickey, Windshield, Bonnet, Light, Bumper, Fender",severe,903
"Bonnet, Fender, Windshield, Door, Light",severe,500
Door,moderate,57
"Dickey, Windshield, Bumper, Light, Door",minor,220
"Light, Windshield, Door, Bonnet, Fender, Bumper",minor,162
"Bumper, Dickey, Bonnet, Fender, Light",moderate,465
"Bonnet, Fender, Dickey, Light, Bumper, Windshield",moderate,510
Fender,moderate,93
"Bonnet, Light",moderate,166
"Windshield, Bonnet, Fender, Door",minor,96
"Door, Bumper, Windshield",minor,102
"Light, Door",minor,60
"Bumper, Bonnet, Windshield, Light",moderate,228
Light,moderate,50
"Windshield, Light, Bumper, Fender",severe,452
"Light, Fender, Bonnet, Door, Dickey, Windshield",minor,174
"Bumper, Dickey, Door, Fender, Windshield, Bonnet",severe,618
"Bumper, Light, Door, Bonnet",moderate,360
Fender,severe,131
"Bumper, Fender, Dickey, Bonnet, Light, Windshield, Door",minor,217
"Light, Door, Dickey, Fender, Bonnet, Windshield",minor,222
"Light, Windshield, Fender, Bumper",moderate,316
"Bonnet, Fender, Light, Bumper",severe,428
"Windshield, Bumper, Bonnet",moderate,261
"Light, Windshield",severe,284
Door,moderate,80
"Dickey, Light, Windshield, Fender",severe,532
Dickey,moderate,55
"Light, Windshield, Bonnet, Dickey, Door",minor,160
"Windshield, Door, Fender, Bumper",minor,80
"Bumper, Light",moderate,126
"Bumper, Light, Windshield, Dickey, Bonnet, Fender",moderate,552
"Door, Bonnet, Windshield, Fender, Bumper",moderate,290
"Bonnet, Door, Windshield, Bumper, Light",minor,240
"Light, Fender, Door",severe,354
"Door, Windshield, Dickey, Fender, Light",minor,100
"Light, Bonnet, Dickey, Fender, Door, Windshield",minor,180
"Door, Light, Fender, Dickey",severe,488
"Bumper, Door, Light, Fender, Dickey, Bonnet, Windshield",minor,140
Bumper,moderate,79
"Door, Light, Windshield, Fender, Bumper, Dickey",moderate,528
"Light, Fender, Door, Bonnet, Bumper, Windshield, Dickey",moderate,483
"Dickey, Bonnet",severe,242
"Light, Windshield, Dickey, Bonnet, Door, Fender, Bumper",minor,154
"Door, Windshield, Bumper, Fender, Dickey, Bonnet",minor,240
"Bumper, Fender, Dickey, Windshield, Door",minor,210
"Fender, Dickey",minor,78
"Door, Windshield, Bumper, Light, Bonnet, Dickey, Fender",moderate,630
"Bonnet, Windshield, Bumper, Dickey, Door, Fender, Light",severe,791
"Windshield, Bumper, Fender",minor,129
"Windshield, Door",severe,200
"Light, Dickey, Door, Fender",moderate,228
"Bumper, Windshield",severe,258
"Windshield, Fender, Light, Bonnet, Dickey, Door, Bumper",minor,140
"Windshield, Light, Bumper, Dickey",moderate,252
"Light, Door, Windshield, Dickey, Fender",minor,220
"Light, Bonnet, Door, Bumper",moderate,368
"Windshield, Door",minor,80
"Door, Dickey, Windshield",minor,96
Windshield,minor,45
"Dickey, Bumper, Bonnet",minor,114
"Bonnet, Light, Bumper, Door, Fender, Windshield",severe,684
"Fender, Light",severe,254
"Fender, Windshield, Light, Door",moderate,204
"Windshield, Bumper",severe,296
Bonnet,minor,48
Dickey,severe,144
"Dickey, Light, Windshield, Fender",severe,508
"Dickey, Bumper, Windshield, Fender, Door, Bonnet",moderate,558
"Light, Bonnet",minor,68
"Door, Dickey, Fender",severe,321
"Bumper, Door, Windshield, Bonnet",severe,400
Bonnet,severe,147
"Dickey, Bonnet, Light",severe,366
"Door, Bonnet, Windshield, Light, Fender",severe,585
"Light, Door, Fender, Bumper, Bonnet, Dickey, Windshield",minor,161
"Dickey, Bonnet, Door, Bumper, Fender, Windshield, Light",minor,210
"Light, Dickey",moderate,102
"Windshield, Bonnet, Bumper, Fender",minor,124
"Dickey, Fender",minor,48
"Door, Bumper, Light, Windshield, Fender, Bonnet",minor,162
"Bonnet, Door, Light",minor,135
"Windshield, Bonnet, Fender",minor,90
"Bonnet, Fender, Light, Door, Dickey",minor,125
"Dickey, Windshield, Door, Bonnet, Bumper, Light",moderate,486
"Door, Windshield, Dickey",moderate,252
"Bonnet, Door, Bumper, Dickey, Fender, Light",moderate,456
"Bumper, Door, Fender, Light, Dickey, Windshield",moderate,480
"Dickey, Light, Door",moderate,192
Fender,minor,21
"Bumper, Windshield, Fender, Dickey",moderate,204
Bumper,moderate,59
"Light, Bumper, Door, Fender, Dickey, Windshield",severe,894
"Light, Windshield, Dickey",moderate,267
"Windshield, Fender, Dickey, Door, Light",severe,575
"Windshield, Light, Fender, Dickey, Bonnet, Door",severe,714
"Door, Windshield",minor,98
"Bonnet, Light, Door, Windshield, Fender",minor,210
"Bonnet, Windshield, Fender, Bumper, Light",minor,125
"Light, Windshield, Dickey",moderate,231
"Windshield, Fender, Door, Bumper, Bonnet, Dickey",moderate,480
"Fender, Bumper, Windshield, Bonnet, Light, Door",moderate,594
"Fender, Dickey",moderate,136
"Windshield, Dickey",moderate,108
Bonnet,minor,28
Fender,severe,117
"Bonnet, Bumper, Light, Dickey, Windshield, Fender",minor,288
"Bonnet, Bumper, Light, Fender, Windshield, Door, Dickey",severe,784
"Bonnet, Bumper, Windshield, Fender, Door",minor,215
"Door, Light, Bonnet, Dickey",moderate,200
"Light, Dickey, Windshield, Fender, Bumper",severe,530
"Door, Fender",minor,80
"Dickey, Bumper, Bonnet",minor,99
"Windshield, Dickey, Bonnet",moderate,264
"Windshield, Bonnet",severe,296
"Bonnet, Bumper, Windshield, Dickey",minor,92
"Door, Windshield",minor,90
"Light, Bumper, Fender, Door",minor,180
"Bonnet, Bumper, Dickey, Windshield, Light",severe,505
"Dickey, Bonnet, Fender",minor,138
"Dickey, Door, Bumper, Light, Bonnet",severe,565
"Windshield, Dickey, Fender, Bumper, Light, Door, Bonnet",moderate,357
"Door, Windshield, Light, Fender, Dickey",severe,665
"Door, Dickey, Fender, Windshield, Bonnet",minor,165
"Light, Bonnet",severe,200
"Bonnet, Dickey, Fender, Bumper, Windshield",moderate,340
"Door, Bonnet, Light, Fender, Windshield, Bumper, Dickey",moderate,616
"Bonnet, Windshield, Light, Dickey, Door, Fender, Bumper",minor,245
"Dickey, Windshield, Bonnet, Light, Door",minor,135
"Door, Bonnet",severe,228
"Windshield, Fender, Dickey, Light, Bumper",minor,245
"Bonnet, Bumper, Fender",severe,363
"Windshield, Fender",moderate,118
"Bonnet, Door, Windshield, Fender, Dickey, Bumper",severe,804
"Fender, Windshield, Dickey, Light, Bumper, Door, Bonnet",severe,917
"Dickey, Light, Windshield, Door, Bumper, Fender",severe,636
"Windshield, Door, Dickey, Fender, Bonnet, Light, Bumper",minor,280
"Bonnet, Door, Dickey, Fender, Light, Windshield",severe,762
"Bonnet, Light",severe,244
"Bonnet, Bumper, Light, Fender, Door",minor,195
"Door, Windshield, Fender",moderate,228
"Windshield, Door, Light, Bumper, Dickey, Fender",severe,852
"Door, Bonnet, Dickey",severe,375
"Light, Bumper, Dickey",moderate,276
"Bumper, Door, Fender",minor,108
"Fender, Dickey, Bumper, Windshield",severe,472
"Dickey, Fender, Bumper, Bonnet, Door",minor,120
Bonnet,moderate,93
"Bumper, Bonnet, Light, Windshield",severe,544
"Dickey, Bonnet, Door",moderate,255
"Light, Door, Bumper",moderate,282
Bonnet,moderate,87
"Light, Door, Bumper",moderate,255
"Light, Bonnet, Dickey, Bumper, Door, Windshield, Fender",moderate,518
"Bonnet, Bumper, Light",minor,99
Fender,severe,111
"Door, Fender, Light, Bonnet",severe,428
"Bonnet, Bumper, Door, Windshield, Light, Fender, Dickey",severe,1008
"Bonnet, Windshield, Fender, Light, Bumper",moderate,410
"Bumper, Light, Door, Fender",minor,104
"Fender, Windshield, Light",minor,147
Dickey,severe,128
"Light, Bumper, Dickey",severe,369
Bumper,minor,31
"Door, Windshield",minor,58
"Dickey, Bonnet, Light, Bumper",moderate,296
"Fender, Windshield",minor,92
"Bonnet, Bumper, Dickey, Fender, Door",severe,645
"Door, Fender, Light, Windshield, Dickey",minor,140
"Bonnet, Dickey, Door, Windshield",minor,192
"Bonnet, Fender, Door, Light, Windshield",moderate,400
"Fender, Bumper, Dickey",severe,327
"Bumper, Door",minor,70
"Fender, Windshield, Door, Bumper, Dickey, Bonnet",severe,732
"Bumper, Windshield",minor,98
"Bonnet, Bumper, Fender, Light, Dickey",severe,700
"Door, Light, Windshield, Bonnet, Dickey, Bumper",moderate,402
"Fender, Bonnet, Light, Windshield, Bumper",minor,115
"Windshield, Light, Door, Bumper, Bonnet, Fender",minor,222
"Windshield, Door, Bumper, Bonnet, Fender, Light",moderate,570
"Fender, Bonnet, Dickey, Door, Light, Bumper, Windshield",moderate,616
"Bumper, Door, Bonnet, Fender, Dickey",minor,110
"Dickey, Light, Bumper",severe,411
"Dickey, Bonnet, Windshield, Light, Fender, Door",minor,180
"Bonnet, Fender, Dickey",minor,102
"Door, Light, Bumper",minor,138
"Fender, Door, Dickey, Bonnet",moderate,344
"Light, Windshield, Door, Dickey",moderate,216
"Door, Windshield, Dickey, Bonnet, Light",minor,160
"Windshield, Dickey, Fender",severe,330
Windshield,moderate,97
"Light, Fender",minor,78
"Bonnet, Dickey, Windshield, Light, Door, Fender",severe,618
"Dickey, Bumper, Fender, Light, Windshield",minor,195
"Bonnet, Light, Fender, Bumper",moderate,256
"Bumper, Dickey, Windshield, Fender, Bonnet",moderate,430
"Dickey, Door, Light",severe,363
"Windshield, Bumper, Door, Bonnet, Light",severe,515
"Dickey, Door",severe,262
"Light, Bonnet, Bumper",minor,105
"Windshield, Dickey, Light, Bumper, Bonnet, Fender, Door",moderate,553
Bonnet,severe,111
"Bumper, Fender, Bonnet",severe,432
"Fender, Door, Windshield, Light",minor,96
"Fender, Bumper",minor,60
"Dickey, Door, Light",moderate,285
"Bumper, Windshield, Bonnet",severe,414
"Light, Door, Windshield, Bumper",severe,560
"Light, Dickey, Windshield",minor,114
"Door, Dickey",severe,294
"Door, Fender, Dickey, Bumper, Light, Bonnet",severe,852
"Bonnet, Fender, Dickey",severe,441
"Fender, Bumper, Bonnet, Dickey, Light",minor,225
"Door, Fender, Light",moderate,207
"Windshield, Light, Bumper, Dickey, Bonnet, Fender",severe,852
"Dickey, Fender, Bonnet, Door",moderate,256
Door,moderate,52
"Dickey, Door",minor,50
"Bonnet, Light, Fender, Dickey",severe,580
"Dickey, Windshield, Fender, Door",moderate,304
"Fender, Windshield, Bumper, Light",moderate,352
"Fender, Light, Bonnet",severe,339
"Windshield, Fender",minor,80
"Dickey, Fender, Light, Door",severe,552
"Fender, Bumper, Windshield, Dickey, Bonnet, Light",severe,768
"Bonnet, Door",moderate,178
"Door, Dickey, Fender",severe,432
"Dickey, Bonnet, Bumper",moderate,162
"Bonnet, Light, Windshield, Fender",minor,128
"Dickey, Door, Windshield, Bumper, Fender, Light, Bonnet",severe,889
"Windshield, Light, Dickey, Bonnet, Bumper",moderate,440
"Light, Dickey, Door, Bonnet",severe,476
"Bonnet, Dickey, Light, Windshield, Door, Fender, Bumper",severe,840
"Bumper, Windshield, Door, Fender",minor,192
"Light, Bonnet, Dickey, Windshield",severe,536
"Fender, Dickey, Bonnet",moderate,213
"Windshield, Door, Fender, Light, Bumper, Bonnet",minor,126
"Bonnet, Dickey, Bumper, Door, Light, Fender, Windshield",moderate,385
"Fender, Door, Windshield, Bumper",severe,452
"Bonnet, Dickey, Door, Light",minor,148
"Fender, Windshield",moderate,186
"Door, Dickey, Windshield, Fender, Light, Bumper, Bonnet",moderate,476
"Fender, Door, Bumper, Windshield, Bonnet, Light",minor,264
Door,moderate,51
"Bumper, Light",moderate,150
Bumper,moderate,75
"Fender, Door, Dickey, Light, Bumper, Windshield, Bonnet",moderate,399
"Door, Bumper, Bonnet, Fender, Light",minor,105
"Light, Dickey, Door, Fender, Bumper",severe,540
"Door, Fender, Dickey",severe,303
"Light, Windshield, Dickey, Bonnet, Fender, Bumper",severe,786
"Light, Door, Bumper, Fender, Windshield, Dickey, Bonnet",moderate,693
"Windshield, Bonnet, Fender, Dickey",moderate,268
"Dickey, Windshield, Bonnet, Bumper, Fender, Light, Door",minor,301
"Bonnet, Door, Bumper, Light, Windshield, Dickey",severe,600
"Bonnet, Bumper, Dickey, Light, Fender",moderate,250
"Light, Bumper",moderate,168
Windshield,minor,33
"Bumper, Light, Fender, Door, Windshield",minor,185
"Fender, Dickey, Bonnet",severe,348
Bumper,severe,111
"Bumper, Windshield, Fender, Door, Light, Dickey, Bonnet",minor,238
"Bumper, Door, Light, Windshield",minor,144
"Bonnet, Light, Windshield, Dickey, Bumper",minor,155
"Dickey, Door, Light, Windshield",minor,192
"Dickey, Light",moderate,100
Door,moderate,58
"Bonnet, Fender, Bumper, Light",minor,164
Bumper,moderate,66
"Dickey, Windshield, Bumper, Light, Door, Fender",moderate,576
Windshield,moderate,77
"Door, Bumper, Windshield, Fender, Bonnet",severe,600
"Windshield, Bumper, Light, Door, Dickey, Fender, Bonnet",severe,1022
"Bumper, Windshield, Light, Dickey, Fender, Door, Bonnet",moderate,609
"Light, Dickey, Bumper, Windshield, Fender",minor,105
"Door, Bumper, Bonnet, Windshield",moderate,228
"Fender, Door, Light, Bonnet, Bumper",minor,190
"Bonnet, Light, Dickey",severe,336
"Fender, Bumper, Bonnet",severe,441
"Fender, Windshield, Bonnet, Dickey, Bumper, Door",severe,828
Dickey,moderate,57
"Bonnet, Windshield",moderate,160
"Fender, Light, Bumper, Windshield, Door",minor,155
"Bonnet, Dickey",minor,96
Fender,moderate,62
Fender,minor,42
Bumper,minor,33
"Fender, Bumper",severe,280
"Door, Bonnet, Bumper",minor,90
Door,minor,27
Bumper,minor,25
"Fender, Bumper, Light, Bonnet, Dickey, Windshield",minor,204
"Windshield, Fender, Bonnet",severe,300
"Fender, Bonnet, Light, Windshield, Dickey, Door",severe,606
"Bonnet, Door, Bumper, Windshield, Fender, Dickey, Light",severe,994
"Light, Bonnet, Fender",minor,120
"Windshield, Door",severe,238
"Windshield, Door, Light, Fender, Bonnet, Bumper, Dickey",moderate,455
"Bumper, Door",severe,288
"Dickey, Door, Light",moderate,249
Bumper,severe,123
"Bonnet, Bumper, Dickey, Windshield, Door, Light, Fender",minor,273
"Fender, Bumper",severe,256
"Windshield, Dickey, Bonnet",severe,444
"Light, Bonnet, Door, Windshield, Dickey, Fender, Bumper",moderate,420
"Bumper, Light, Windshield, Bonnet, Door",severe,600
Dickey,severe,105
"Light, Bumper, Fender",minor,108
"Bumper, Door, Windshield, Light, Fender",minor,230
"Bonnet, Bumper, Windshield, Light",moderate,220
"Bumper, Bonnet, Fender, Windshield, Light, Door",minor,180
"Bonnet, Fender, Light, Bumper",severe,416
"Dickey, Fender, Door, Bonnet",moderate,256
Bumper,moderate,84
Dickey,severe,121
"Fender, Windshield",minor,50
"Light, Bonnet",moderate,172
Fender,minor,23
"Windshield, Dickey, Light, Bumper, Fender, Bonnet",moderate,522
Dickey,moderate,77
"Door, Fender, Windshield",moderate,261
"Bumper, Windshield",moderate,168
Door,moderate,68
"Dickey, Light, Door, Fender, Bonnet",minor,215
"Bonnet, Dickey, Fender, Windshield, Light, Door, Bumper",minor,329
"Dickey, Bumper",severe,212
"Bumper, Fender, Windshield, Dickey, Door, Light",minor,234
